model,effort,task_id,trial,provider,gold_answer,extracted_answer,correct,answer_in_boxed,thinking_tokens,answer_tokens,total_completion_tokens,over_cap,at_cap,censored_correct,trace_chars,backtrack_markers,recall_opener,error
glm_4_5,enabled,aime_2026_i_14,0,Z.AI,681,681,1,1,7182,1446,8628,0,0,1,18784,23,0,
glm_4_5,enabled,aime_2026_i_14,1,Z.AI,681,681,1,1,9797,1098,10895,0,0,1,26631,40,0,
glm_4_5,enabled,aime_2026_i_14,2,Z.AI,681,681,1,1,11093,1114,12207,0,0,1,30188,70,0,
glm_4_5,enabled,aime_2026_i_14,3,Z.AI,681,681,1,1,7779,715,8494,0,0,1,22526,28,0,
glm_4_5,enabled,aime_2026_i_14,4,Z.AI,681,681,1,1,8526,1491,10017,0,0,1,24301,31,0,
glm_4_5,enabled,aime_2026_i_14,5,Z.AI,681,681,1,1,13721,956,14677,0,0,1,37632,58,0,
glm_4_5,enabled,aime_2026_i_14,6,Z.AI,681,681,1,1,11838,1465,13303,0,0,1,33563,46,0,
glm_4_5,enabled,aime_2026_i_14,7,Z.AI,681,681,1,1,9356,598,9954,0,0,1,25434,29,0,
glm_4_5,enabled,aime_2026_i_14,8,Z.AI,681,681,1,1,9452,1064,10516,0,0,1,26637,33,0,
glm_4_5,enabled,aime_2026_i_14,9,Z.AI,681,681,1,1,12898,50,12948,0,0,1,36557,67,0,
glm_4_5,enabled,aime_2026_i_14,10,Z.AI,681,681,1,1,8893,51,8944,0,0,1,23473,32,0,
glm_4_5,enabled,aime_2026_i_14,11,Z.AI,681,681,1,1,38133,50,38183,0,0,1,88370,101,0,
glm_4_5,enabled,aime_2026_i_14,12,Z.AI,681,681,1,1,38913,2179,41092,1,0,0,93913,104,0,
glm_4_5,enabled,aime_2026_i_14,13,Z.AI,681,681,1,1,18387,50,18437,0,0,1,49713,74,0,
glm_4_5,enabled,aime_2026_i_14,14,Z.AI,681,681,1,1,13814,50,13864,0,0,1,38583,67,0,
glm_4_5,enabled,aime_2026_i_14,15,Z.AI,681,681,1,1,19596,46,19642,0,0,1,50468,83,0,
glm_4_5,enabled,aime_2026_i_14,16,Z.AI,681,681,1,1,11514,1218,12732,0,0,1,30773,41,0,
glm_4_5,enabled,aime_2026_i_14,17,Z.AI,681,681,1,1,11980,624,12604,0,0,1,33895,51,0,
glm_4_5,enabled,aime_2026_i_14,18,Z.AI,681,681,1,1,11823,775,12598,0,0,1,32591,52,0,
glm_4_5,enabled,aime_2026_i_14,19,Z.AI,681,681,1,1,18164,993,19157,0,0,1,52381,83,0,
glm_4_5,enabled,aime_2026_i_14,20,Z.AI,681,681,1,1,7495,548,8043,0,0,1,19319,34,0,
glm_4_5,enabled,aime_2026_i_14,21,Z.AI,681,681,1,1,21812,1360,23172,0,0,1,57395,82,0,
glm_4_5,enabled,aime_2026_i_14,22,Z.AI,681,681,1,1,37368,50,37418,0,0,1,88470,121,0,
glm_4_5,enabled,aime_2026_i_14,23,Z.AI,681,681,1,1,10125,1251,11376,0,0,1,28221,44,0,
glm_4_5,enabled,aime_2026_i_14,24,Z.AI,681,681,1,1,16040,1547,17587,0,0,1,45490,75,0,
glm_4_5,enabled,aime_2026_i_14,25,Z.AI,681,681,1,1,15002,1267,16269,0,0,1,39438,56,0,
glm_4_5,enabled,aime_2026_i_14,26,Z.AI,681,681,1,1,10339,50,10389,0,0,1,28710,41,0,
glm_4_5,enabled,aime_2026_i_14,27,Z.AI,681,681,1,1,38913,1269,40182,1,0,0,91039,89,0,
glm_4_5,enabled,aime_2026_i_14,28,Z.AI,681,681,1,1,6264,875,7139,0,0,1,17228,29,0,
glm_4_5,enabled,aime_2026_i_14,29,Z.AI,681,681,1,1,14054,755,14809,0,0,1,40047,64,0,
glm_4_5,enabled,aime_2026_i_14,30,Z.AI,681,681,1,1,38913,1002,39915,0,0,1,91181,112,0,
glm_4_5,enabled,aime_2026_i_14,31,Z.AI,681,681,1,1,22059,50,22109,0,0,1,59092,97,0,
glm_4_5,enabled,aime_2026_ii_13,0,Z.AI,107,107,1,1,38913,5368,44281,1,0,0,152417,95,0,
glm_4_5,enabled,aime_2026_ii_13,1,Z.AI,107,107,1,1,38913,641,39554,0,0,1,133839,99,0,
glm_4_5,enabled,aime_2026_ii_13,2,Z.AI,107,107,1,1,38913,591,39504,0,0,1,136778,139,0,
glm_4_5,enabled,aime_2026_ii_13,3,Z.AI,107,106,0,1,38913,2701,41614,1,0,0,140571,118,0,
glm_4_5,enabled,aime_2026_ii_13,4,Z.AI,107,13,0,1,38913,833,39746,0,0,0,136118,95,0,
glm_4_5,enabled,aime_2026_ii_13,5,Z.AI,107,107,1,1,38913,454,39367,0,0,1,127902,109,0,
glm_4_5,enabled,aime_2026_ii_13,6,Z.AI,107,107,1,1,38913,2113,41026,1,0,0,133748,111,0,
glm_4_5,enabled,aime_2026_ii_13,7,Z.AI,107,"3072.  That's a reduction from 4096 to 3072, a drop of 1024.  That's too much; we need only 56 drop",0,0,38913,40004,78917,1,0,0,135127,83,0,
glm_4_5,enabled,aime_2026_ii_13,8,Z.AI,107,107,1,1,38913,23240,62153,1,0,0,135594,103,0,
glm_4_5,enabled,aime_2026_ii_13,9,Z.AI,107,107,1,1,38913,1353,40266,1,0,0,127613,79,0,
glm_4_5,enabled,aime_2026_ii_13,10,Z.AI,107,107,1,1,37367,1113,38480,0,0,1,133413,104,0,
glm_4_5,enabled,aime_2026_ii_13,11,Z.AI,107,107,1,1,38913,3012,41925,1,0,0,134762,100,0,
glm_4_5,enabled,aime_2026_ii_13,12,Z.AI,107,107,1,0,38913,22845,61758,1,0,0,135500,91,0,
glm_4_5,enabled,aime_2026_ii_13,13,Z.AI,107,107,1,1,38913,389,39302,0,0,1,141023,104,0,
glm_4_5,enabled,aime_2026_ii_13,14,Z.AI,107,107,1,1,38913,10683,49596,1,0,0,133607,112,0,
glm_4_5,enabled,aime_2026_ii_13,15,Z.AI,107,107,1,1,38913,455,39368,0,0,1,133410,114,0,
glm_4_5,enabled,aime_2026_ii_13,16,Z.AI,107,107,1,1,38913,6005,44918,1,0,0,139778,103,0,
glm_4_5,enabled,aime_2026_ii_13,17,Z.AI,107,107,1,1,38913,571,39484,0,0,1,139320,94,0,
glm_4_5,enabled,aime_2026_ii_13,18,Z.AI,107,107,1,1,38913,1101,40014,1,0,0,131226,113,0,
glm_4_5,enabled,aime_2026_ii_13,19,Z.AI,107,107,1,1,35458,1802,37260,0,0,1,117723,92,0,
glm_4_5,enabled,aime_2026_ii_13,20,Z.AI,107,107,1,1,38913,1505,40418,1,0,0,136259,101,0,
glm_4_5,enabled,aime_2026_ii_13,21,Z.AI,107,107,1,1,38913,481,39394,0,0,1,133214,98,0,
glm_4_5,enabled,aime_2026_ii_13,22,Z.AI,107,107,1,1,38913,1691,40604,1,0,0,138684,124,0,
glm_4_5,enabled,aime_2026_ii_13,23,Z.AI,107,107,1,1,38913,325,39238,0,0,1,142020,131,0,
glm_4_5,enabled,aime_2026_ii_13,24,Z.AI,107,107,1,1,38913,1111,40024,1,0,0,139192,117,0,
glm_4_5,enabled,aime_2026_ii_13,25,Z.AI,107,107,1,1,38913,2332,41245,1,0,0,128663,103,0,
glm_4_5,enabled,aime_2026_ii_13,26,Z.AI,107,107,1,1,38913,469,39382,0,0,1,137215,103,0,
glm_4_5,enabled,aime_2026_ii_13,27,Z.AI,107,107,1,1,38913,416,39329,0,0,1,139271,106,0,
glm_4_5,enabled,aime_2026_ii_13,28,Z.AI,107,107,1,1,38913,8039,46952,1,0,0,129920,101,0,
glm_4_5,enabled,aime_2026_ii_13,29,Z.AI,107,107,1,1,38913,9810,48723,1,0,0,139028,97,0,
glm_4_5,enabled,aime_2026_ii_13,30,Z.AI,107,107,1,1,38913,346,39259,0,0,1,133147,108,0,
glm_4_5,enabled,aime_2026_ii_13,31,Z.AI,107,107,1,1,38913,532,39445,0,0,1,146564,103,0,
glm_4_5,enabled,hmmt_2026_feb_comb_09,0,Z.AI,499,499,1,1,38913,612,39525,0,0,1,128426,83,0,
glm_4_5,enabled,hmmt_2026_feb_comb_09,1,Z.AI,499,499,1,1,38913,7364,46277,1,0,0,131272,89,0,
glm_4_5,enabled,hmmt_2026_feb_comb_09,2,Z.AI,499,499,1,1,38913,1398,40311,1,0,0,134664,83,0,
glm_4_5,enabled,hmmt_2026_feb_comb_09,3,Z.AI,499,499,1,1,31581,734,32315,0,0,1,107499,85,0,
glm_4_5,enabled,hmmt_2026_feb_comb_09,4,Z.AI,499,499,1,1,38913,958,39871,0,0,1,137194,58,0,
glm_4_5,enabled,hmmt_2026_feb_comb_09,5,Z.AI,499,499,1,1,38913,892,39805,0,0,1,133537,92,0,
glm_4_5,enabled,hmmt_2026_feb_comb_09,6,Z.AI,499,499,1,1,38913,506,39419,0,0,1,133388,85,0,
glm_4_5,enabled,hmmt_2026_feb_comb_09,7,Z.AI,499,499,1,1,38913,1528,40441,1,0,0,125040,66,0,
glm_4_5,enabled,hmmt_2026_feb_comb_09,8,Z.AI,499,524,0,1,36249,780,37029,0,0,0,114851,70,0,
glm_4_5,enabled,hmmt_2026_feb_comb_09,9,Z.AI,499,499,1,1,38913,984,39897,0,0,1,124234,85,0,
glm_4_5,enabled,hmmt_2026_feb_comb_09,10,Z.AI,499,499,1,1,38913,787,39700,0,0,1,129225,99,0,
glm_4_5,enabled,hmmt_2026_feb_comb_09,11,Z.AI,499,499,1,1,38913,514,39427,0,0,1,124100,74,0,
glm_4_5,enabled,hmmt_2026_feb_comb_09,12,Z.AI,499,518,0,1,38913,1655,40568,1,0,0,140733,72,0,
glm_4_5,enabled,hmmt_2026_feb_comb_09,13,Z.AI,499,499,1,1,38913,823,39736,0,0,1,127168,79,0,
glm_4_5,enabled,hmmt_2026_feb_comb_09,14,Z.AI,499,499,1,1,38913,925,39838,0,0,1,131377,102,0,
glm_4_5,enabled,hmmt_2026_feb_comb_09,15,Z.AI,499,518,0,1,38913,2533,41446,1,0,0,91756,41,0,
glm_4_5,enabled,hmmt_2026_feb_comb_09,16,Z.AI,499,499,1,1,38913,11944,50857,1,0,0,135886,74,0,
glm_4_5,enabled,hmmt_2026_feb_comb_09,17,Z.AI,499,499,1,1,38913,970,39883,0,0,1,125741,85,0,
glm_4_5,enabled,hmmt_2026_feb_comb_09,18,Z.AI,499,499,1,1,38913,13421,52334,1,0,0,75911,41,0,
glm_4_5,enabled,hmmt_2026_feb_comb_09,19,Z.AI,499,499,1,1,38913,719,39632,0,0,1,132628,93,0,
glm_4_5,enabled,hmmt_2026_feb_comb_09,20,Z.AI,499,499,1,1,38913,855,39768,0,0,1,124092,93,0,
glm_4_5,enabled,hmmt_2026_feb_comb_09,21,Z.AI,499,499,1,1,38913,510,39423,0,0,1,119977,77,0,
glm_4_5,enabled,hmmt_2026_feb_comb_09,22,Z.AI,499,499,1,1,38913,1089,40002,1,0,0,127731,71,0,
glm_4_5,enabled,hmmt_2026_feb_comb_09,23,Z.AI,499,1972,0,1,38913,802,39715,0,0,0,139306,100,0,
glm_4_5,enabled,hmmt_2026_feb_comb_09,24,Z.AI,499,518,0,1,38913,840,39753,0,0,0,129571,66,0,
glm_4_5,enabled,hmmt_2026_feb_comb_09,25,Z.AI,499,499,1,1,38913,863,39776,0,0,1,122051,90,0,
glm_4_5,enabled,hmmt_2026_feb_comb_09,26,Z.AI,499,499,1,1,38913,1366,40279,1,0,0,77513,33,0,
glm_4_5,enabled,hmmt_2026_feb_comb_09,27,Z.AI,499,499,1,1,38913,655,39568,0,0,1,126691,67,0,
glm_4_5,enabled,hmmt_2026_feb_comb_09,28,Z.AI,499,499,1,1,38913,648,39561,0,0,1,127013,79,0,
glm_4_5,enabled,hmmt_2026_feb_comb_09,29,Z.AI,499,499,1,1,38913,1520,40433,1,0,0,130577,93,0,
glm_4_5,enabled,hmmt_2026_feb_comb_09,30,Z.AI,499,499,1,1,38913,826,39739,0,0,1,138168,91,0,
glm_4_5,enabled,hmmt_2026_feb_comb_09,31,Z.AI,499,499,1,1,36558,790,37348,0,0,1,123436,72,0,
glm_4_5,enabled,aime_2026_i_09,0,Z.AI,029,29,1,1,18570,814,19384,0,0,1,67605,59,0,
glm_4_5,enabled,aime_2026_i_09,1,Z.AI,029,29,1,1,19660,61,19721,0,0,1,67674,51,0,
glm_4_5,enabled,aime_2026_i_09,2,Z.AI,029,29,1,1,20781,61,20842,0,0,1,72167,57,0,
glm_4_5,enabled,aime_2026_i_09,3,Z.AI,029,29,1,1,28316,542,28858,0,0,1,99022,73,0,
glm_4_5,enabled,aime_2026_i_09,4,Z.AI,029,29,1,1,25942,1109,27051,0,0,1,89627,64,0,
glm_4_5,enabled,aime_2026_i_09,5,Z.AI,029,29,1,1,18346,956,19302,0,0,1,61760,47,0,
glm_4_5,enabled,aime_2026_i_09,6,Z.AI,029,29,1,1,17060,1082,18142,0,0,1,59251,41,0,
glm_4_5,enabled,aime_2026_i_09,7,Z.AI,029,29,1,1,15787,61,15848,0,0,1,53975,43,0,
glm_4_5,enabled,aime_2026_i_09,8,Z.AI,029,29,1,1,29654,64,29718,0,0,1,104355,77,0,
glm_4_5,enabled,aime_2026_i_09,9,Z.AI,029,29,1,1,21043,924,21967,0,0,1,73773,66,0,
glm_4_5,enabled,aime_2026_i_09,10,Z.AI,029,29,1,1,17494,63,17557,0,0,1,65161,50,0,
glm_4_5,enabled,aime_2026_i_09,11,Z.AI,029,29,1,1,16350,66,16416,0,0,1,57618,60,0,
glm_4_5,enabled,aime_2026_i_09,12,Z.AI,029,29,1,1,29536,37,29573,0,0,1,99787,71,0,
glm_4_5,enabled,aime_2026_i_09,13,Z.AI,029,29,1,1,23971,37,24008,0,0,1,86200,65,0,
glm_4_5,enabled,aime_2026_i_09,14,Z.AI,029,29,1,1,20068,60,20128,0,0,1,70112,58,0,
glm_4_5,enabled,aime_2026_i_09,15,Z.AI,029,29,1,1,24821,37,24858,0,0,1,85642,91,0,
glm_4_5,enabled,aime_2026_i_09,16,Z.AI,029,29,1,1,19514,42,19556,0,0,1,65191,50,0,
glm_4_5,enabled,aime_2026_i_09,17,Z.AI,029,29,1,1,18702,58,18760,0,0,1,65120,64,0,
glm_4_5,enabled,aime_2026_i_09,18,Z.AI,029,29,1,1,18846,550,19396,0,0,1,65600,67,0,
glm_4_5,enabled,aime_2026_i_09,19,Z.AI,029,29,1,1,19885,35,19920,0,0,1,73204,57,0,
glm_4_5,enabled,aime_2026_i_09,20,Z.AI,029,29,1,1,24518,64,24582,0,0,1,88610,76,0,
glm_4_5,enabled,aime_2026_i_09,21,Z.AI,029,29,1,1,25277,50,25327,0,0,1,91361,74,0,
glm_4_5,enabled,aime_2026_i_09,22,Z.AI,029,29,1,1,23321,37,23358,0,0,1,79684,67,0,
glm_4_5,enabled,aime_2026_i_09,23,Z.AI,029,29,1,1,17819,37,17856,0,0,1,65067,55,0,
glm_4_5,enabled,aime_2026_i_09,24,Z.AI,029,29,1,1,21296,66,21362,0,0,1,68811,60,0,
glm_4_5,enabled,aime_2026_i_09,25,Z.AI,029,29,1,1,25214,66,25280,0,0,1,88435,77,0,
glm_4_5,enabled,aime_2026_i_09,26,Z.AI,029,29,1,1,24358,35,24393,0,0,1,84479,76,0,
glm_4_5,enabled,aime_2026_i_09,27,Z.AI,029,29,1,1,16718,874,17592,0,0,1,59842,52,0,
glm_4_5,enabled,aime_2026_i_09,28,Z.AI,029,29,1,1,14147,37,14184,0,0,1,50021,45,0,
glm_4_5,enabled,aime_2026_i_09,29,Z.AI,029,29,1,1,25965,56,26021,0,0,1,85256,85,0,
glm_4_5,enabled,aime_2026_i_09,30,Z.AI,029,29,1,1,17890,834,18724,0,0,1,63589,54,0,
glm_4_5,enabled,aime_2026_i_09,31,Z.AI,029,29,1,1,19030,37,19067,0,0,1,72803,52,0,
glm_4_5,enabled,hmmt_2026_feb_algnt_04,0,Z.AI,\frac{7}{2},\frac{7}{2},1,1,3192,832,4024,0,0,1,7474,13,0,
glm_4_5,enabled,hmmt_2026_feb_algnt_04,1,Z.AI,\frac{7}{2},\frac{7}{2},1,1,6757,15,6772,0,0,1,15542,27,0,
glm_4_5,enabled,hmmt_2026_feb_algnt_04,2,Z.AI,\frac{7}{2},\frac{7}{2},1,1,8592,400,8992,0,0,1,18683,27,0,
glm_4_5,enabled,hmmt_2026_feb_algnt_04,3,Z.AI,\frac{7}{2},\frac{7}{2},1,1,3837,717,4554,0,0,1,9726,22,0,
glm_4_5,enabled,hmmt_2026_feb_algnt_04,4,Z.AI,\frac{7}{2},\frac{7}{2},1,1,8430,796,9226,0,0,1,19438,29,0,
glm_4_5,enabled,hmmt_2026_feb_algnt_04,5,Z.AI,\frac{7}{2},\frac{7}{2},1,1,3893,736,4629,0,0,1,9386,12,0,
glm_4_5,enabled,hmmt_2026_feb_algnt_04,6,Z.AI,\frac{7}{2},\frac{7}{2},1,1,2541,721,3262,0,0,1,5947,13,0,
glm_4_5,enabled,hmmt_2026_feb_algnt_04,7,Z.AI,\frac{7}{2},\frac{7}{2},1,1,4468,461,4929,0,0,1,11387,23,0,
glm_4_5,enabled,hmmt_2026_feb_algnt_04,8,Z.AI,\frac{7}{2},\frac{7}{2},1,1,5049,680,5729,0,0,1,12055,19,0,
glm_4_5,enabled,hmmt_2026_feb_algnt_04,9,Z.AI,\frac{7}{2},\frac{7}{2},1,1,5809,913,6722,0,0,1,13756,20,0,
glm_4_5,enabled,hmmt_2026_feb_algnt_04,10,Z.AI,\frac{7}{2},\frac{7}{2},1,1,5171,15,5186,0,0,1,11643,16,0,
glm_4_5,enabled,hmmt_2026_feb_algnt_04,11,Z.AI,\frac{7}{2},\frac{7}{2},1,1,3766,743,4509,0,0,1,9258,15,0,
glm_4_5,enabled,hmmt_2026_feb_algnt_04,12,Z.AI,\frac{7}{2},\frac{7}{2},1,1,5996,1602,7598,0,0,1,13676,24,0,
glm_4_5,enabled,hmmt_2026_feb_algnt_04,13,Z.AI,\frac{7}{2},\frac{7}{2},1,1,8568,873,9441,0,0,1,20847,25,0,
glm_4_5,enabled,hmmt_2026_feb_algnt_04,14,Z.AI,\frac{7}{2},\frac{7}{2},1,1,1755,441,2196,0,0,1,4067,8,0,
glm_4_5,enabled,hmmt_2026_feb_algnt_04,15,Z.AI,\frac{7}{2},\frac{7}{2},1,1,7936,15,7951,0,0,1,17459,23,0,
glm_4_5,enabled,hmmt_2026_feb_algnt_04,16,Z.AI,\frac{7}{2},\frac{7}{2},1,1,4673,462,5135,0,0,1,10636,16,0,
glm_4_5,enabled,hmmt_2026_feb_algnt_04,17,Z.AI,\frac{7}{2},\frac{7}{2},1,1,6125,850,6975,0,0,1,14309,18,0,
glm_4_5,enabled,hmmt_2026_feb_algnt_04,18,Z.AI,\frac{7}{2},\frac{7}{2},1,1,7707,1108,8815,0,0,1,18897,27,0,
glm_4_5,enabled,hmmt_2026_feb_algnt_04,19,Z.AI,\frac{7}{2},\frac{7}{2},1,1,5161,446,5607,0,0,1,12231,20,0,
glm_4_5,enabled,hmmt_2026_feb_algnt_04,20,Z.AI,\frac{7}{2},\frac{7}{2},1,1,6340,480,6820,0,0,1,14087,28,0,
glm_4_5,enabled,hmmt_2026_feb_algnt_04,21,Z.AI,\frac{7}{2},\frac{7}{2},1,1,5687,734,6421,0,0,1,14630,20,0,
glm_4_5,enabled,hmmt_2026_feb_algnt_04,22,Z.AI,\frac{7}{2},\frac{7}{2},1,1,3276,770,4046,0,0,1,8061,12,0,
glm_4_5,enabled,hmmt_2026_feb_algnt_04,23,Z.AI,\frac{7}{2},\frac{7}{2},1,1,2275,520,2795,0,0,1,5817,9,0,
glm_4_5,enabled,hmmt_2026_feb_algnt_04,24,Z.AI,\frac{7}{2},\frac{7}{2},1,1,2435,538,2973,0,0,1,6294,10,0,
glm_4_5,enabled,hmmt_2026_feb_algnt_04,25,Z.AI,\frac{7}{2},\frac{7}{2},1,1,6035,576,6611,0,0,1,13108,22,0,
glm_4_5,enabled,hmmt_2026_feb_algnt_04,26,Z.AI,\frac{7}{2},\frac{7}{2},1,1,3455,818,4273,0,0,1,8858,16,0,
glm_4_5,enabled,hmmt_2026_feb_algnt_04,27,Z.AI,\frac{7}{2},\frac{7}{2},1,1,3532,15,3547,0,0,1,8679,14,0,
glm_4_5,enabled,hmmt_2026_feb_algnt_04,28,Z.AI,\frac{7}{2},\frac{7}{2},1,1,6108,625,6733,0,0,1,13785,20,0,
glm_4_5,enabled,hmmt_2026_feb_algnt_04,29,Z.AI,\frac{7}{2},\frac{7}{2},1,1,8738,367,9105,0,0,1,20389,27,0,
glm_4_5,enabled,hmmt_2026_feb_algnt_04,30,Z.AI,\frac{7}{2},\frac{7}{2},1,1,7218,1068,8286,0,0,1,16389,31,0,
glm_4_5,enabled,hmmt_2026_feb_algnt_04,31,Z.AI,\frac{7}{2},\frac{7}{2},1,1,7207,1217,8424,0,0,1,16940,26,0,
glm_4_5,enabled,aime_2026_ii_09,0,Z.AI,669,669,1,1,13453,553,14006,0,0,1,34418,69,0,
glm_4_5,enabled,aime_2026_ii_09,1,Z.AI,669,669,1,1,9648,566,10214,0,0,1,24031,45,0,
glm_4_5,enabled,aime_2026_ii_09,2,Z.AI,669,669,1,1,7986,586,8572,0,0,1,20936,48,0,
glm_4_5,enabled,aime_2026_ii_09,3,Z.AI,669,669,1,1,11047,680,11727,0,0,1,27755,48,0,
glm_4_5,enabled,aime_2026_ii_09,4,Z.AI,669,669,1,1,18673,793,19466,0,0,1,45935,90,0,
glm_4_5,enabled,aime_2026_ii_09,5,Z.AI,669,669,1,1,14664,1320,15984,0,0,1,36967,64,0,
glm_4_5,enabled,aime_2026_ii_09,6,Z.AI,669,669,1,1,13084,596,13680,0,0,1,30314,63,0,
glm_4_5,enabled,aime_2026_ii_09,7,Z.AI,669,669,1,1,15102,685,15787,0,0,1,39098,68,0,
glm_4_5,enabled,aime_2026_ii_09,8,Z.AI,669,669,1,1,11575,622,12197,0,0,1,29469,56,0,
glm_4_5,enabled,aime_2026_ii_09,9,Z.AI,669,669,1,1,14245,541,14786,0,0,1,36093,70,0,
glm_4_5,enabled,aime_2026_ii_09,10,Z.AI,669,669,1,1,18671,431,19102,0,0,1,45277,76,0,
glm_4_5,enabled,aime_2026_ii_09,11,Z.AI,669,669,1,1,13031,721,13752,0,0,1,32853,60,0,
glm_4_5,enabled,aime_2026_ii_09,12,Z.AI,669,669,1,1,18982,468,19450,0,0,1,47872,76,0,
glm_4_5,enabled,aime_2026_ii_09,13,Z.AI,669,669,1,1,17410,905,18315,0,0,1,43465,84,0,
glm_4_5,enabled,aime_2026_ii_09,14,Z.AI,669,669,1,1,15196,1208,16404,0,0,1,37891,76,0,
glm_4_5,enabled,aime_2026_ii_09,15,Z.AI,669,669,1,1,11922,502,12424,0,0,1,28163,46,0,
glm_4_5,enabled,aime_2026_ii_09,16,Z.AI,669,669,1,1,5676,755,6431,0,0,1,15203,31,1,
glm_4_5,enabled,aime_2026_ii_09,17,Z.AI,669,669,1,1,17904,497,18401,0,0,1,47581,98,0,
glm_4_5,enabled,aime_2026_ii_09,18,Z.AI,669,669,1,1,7267,569,7836,0,0,1,19363,41,0,
glm_4_5,enabled,aime_2026_ii_09,19,Z.AI,669,669,1,1,20104,712,20816,0,0,1,47772,74,0,
glm_4_5,enabled,aime_2026_ii_09,20,Z.AI,669,669,1,1,19563,584,20147,0,0,1,50375,91,0,
glm_4_5,enabled,aime_2026_ii_09,21,Z.AI,669,669,1,1,9982,671,10653,0,0,1,24078,42,0,
glm_4_5,enabled,aime_2026_ii_09,22,Z.AI,669,669,1,1,12331,548,12879,0,0,1,30381,61,0,
glm_4_5,enabled,aime_2026_ii_09,23,Z.AI,669,669,1,1,11933,792,12725,0,0,1,30032,58,0,
